19,54,12
70,75,12
82,86,19
116,131,45
158,178,30
192,200,16
215,220,20
229,240,22
249,258,35
272,296,11
308,311,26
318,322,13
333,338,26
362,369,31
393,402,22
412,462,15
478,538,20
541,548,16
554,560,21
567,573,24
