74.18593579252583,90.0,0,2024-07-18 07:00:00
74.77907272920504,90.0,0,2024-07-18 07:04:20
75.37095449120044,90.0,0,2024-07-18 07:08:40
75.96181634647017,90.0,0,2024-07-18 07:13:00
76.55189742431725,90.0,0,2024-07-18 07:17:20
77.14144110358099,90.0,0,2024-07-18 07:21:40
77.73069542763285,90.0,0,2024-07-18 07:26:00
78.31991355042672,90.0,0,2024-07-18 07:30:20
78.90935430079591,90.0,0,2024-07-18 07:34:40
79.49928223513484,90.0,0,2024-07-18 07:39:00
80.08996918440556,90.0,0,2024-07-18 07:43:20
80.6816934649138,90.0,66,2024-07-18 07:47:40
81.2747419645109,90.0,16,2024-07-18 07:52:00
81.86940943567569,90.0,27,2024-07-18 07:56:20
82.46600021866466,90.0,380,2024-07-18 08:00:40
83.0648285519021,90.0,560,2024-07-18 08:05:00
83.6662194871866,90.0,560,2024-07-18 08:09:20
84.2705097761917,90.0,550,2024-07-18 08:13:40
84.8780488248206,90.0,84,2024-07-18 08:18:00
85.489199719453,90.0,0,2024-07-18 08:22:20
86.10434033459175,90.0,285,2024-07-18 08:26:40
86.72386452726943,90.0,423,2024-07-18 08:31:00
87.34818342573149,90.0,542,2024-07-18 08:35:20
87.97772682379379,90.0,542,2024-07-18 08:39:40
88.61294468939995,90.0,592,2024-07-18 08:44:00
89.25430879505251,90.0,660,2024-07-18 08:48:20
89.90231448886323,90.0,670,2024-07-18 08:52:40
90.55748261068726,90.0,663,2024-07-18 08:57:00
91.22036157651004,37.90468829734538,690,2024-07-18 09:01:20
91.89152974268177,38.76855883916388,699,2024-07-18 09:05:40
92.57159734310318,39.632115848175516,603,2024-07-18 09:10:00
93.2612103164883,40.49523103415874,603,2024-07-18 09:14:20
93.96105163407518,41.357769597063516,292,2024-07-18 09:18:40
94.67184617972015,42.2195917766223,272,2024-07-18 09:23:00
95.39436258313772,43.080550201223225,97,2024-07-18 09:27:20
96.12941818492307,43.940490653385346,56,2024-07-18 09:31:40
96.8778825980052,44.799250624531396,33,2024-07-18 09:36:00
97.64068229890344,45.656658601020645,37,2024-07-18 09:40:20
98.41880551544344,46.51253312335142,37,2024-07-18 09:44:40
99.21330756062045,47.36668175583334,0,2024-07-18 09:49:00
100.02531664890833,48.21889994263938,0,2024-07-18 09:53:20
100.85604023751482,49.06896974537796,3,2024-07-18 09:57:40
101.70677193312929,49.916658441743635,6,2024-07-18 10:02:00
