36.9994515,-86.3720779,0.157458
36.99938,-86.37217,0.157334
36.99937,-86.37219,0.157316
36.99928,-86.37234,0.15713300000000002
36.99924,-86.37243,0.156982
36.9992,-86.37253,0.15687600000000002
36.99909,-86.37298,0.156654
36.99903,-86.37329,0.156359
36.999,-86.3734,0.156219
36.9989,-86.374,0.155899
36.9989,-86.37405,0.155909
36.99892,-86.3741,0.155932
36.99895,-86.37414,0.15595799999999999
36.99895,-86.37415,0.155963
36.99918,-86.37426,0.156277
36.99943,-86.37432,0.156645
36.99963,-86.37436,0.156635
36.99965,-86.37435,0.15655000000000002
36.9997,-86.37434,0.15634800000000001
36.99977,-86.37431,0.156119
36.99982,-86.37427,0.156055
37.0001,-86.374,0.15648900000000002
37.00024,-86.37386,0.156816
37.00146,-86.3727,0.156892
37.00166,-86.37247,0.15726099999999998
37.00179,-86.37232,0.15769
37.0019,-86.3722,0.158059
37.00202,-86.37202,0.158365
37.00207,-86.37193,0.158404
37.0024,-86.3713,0.158487
37.00251,-86.3711,0.158689
37.00261,-86.37096,0.15900999999999998
37.00271,-86.37082,0.159218
37.0029,-86.37063,0.159555
37.00306,-86.37048,0.159851
37.00328,-86.37031,0.16011699999999998
37.00338,-86.37023,0.160129
37.00358,-86.37006,0.160015
37.00367,-86.36996,0.159996
37.00392,-86.3697,0.159745
37.00418,-86.36939,0.15875999999999998
37.0043,-86.3692,0.158405
37.00431,-86.36917,0.158417
37.00436,-86.36904,0.158416
37.00438,-86.36897,0.158387
37.00442,-86.36881,0.158409
37.00446,-86.3686,0.158469
37.00447,-86.36841,0.15846000000000002
37.00447,-86.36825,0.158358
37.00445,-86.3681,0.158306
37.00445,-86.36808,0.158298
37.00441,-86.36789,0.15837600000000002
37.0044,-86.36787,0.158422
37.00434,-86.36766,0.15882
37.00427,-86.36745,0.159095
37.00404,-86.36676,0.159902
37.00399,-86.36662,0.160112
37.00397,-86.36658,0.160173
37.00391,-86.36649,0.160287
37.00383,-86.36644,0.160339
37.00377,-86.36643,0.16033799999999998
37.00369,-86.36644,0.160274
37.00361,-86.36648,0.160175
37.00354,-86.36654,0.16007300000000002
37.00353,-86.36655,0.160061
37.00346,-86.36663,0.159924
37.0034,-86.36671,0.159667
37.00338,-86.36673,0.15957400000000002
37.00317,-86.36703,0.15731
37.00312,-86.3671,0.156887
37.00307,-86.36721,0.15620599999999998
37.003,-86.36741,0.15532400000000002
37.00293,-86.36764,0.15486699999999998
37.00293,-86.36766,0.154882
37.00293,-86.36774,0.15494300000000003
37.00294,-86.3678,0.15496700000000002
37.00295,-86.36785,0.15498599999999998
37.00295,-86.36786,0.154994
37.00305,-86.36805,0.155359
37.00315,-86.36824,0.156088
37.00325,-86.36843,0.156948
37.0033,-86.36852,0.157336
37.00344,-86.36881,0.15828
37.0035,-86.36894,0.158786
37.0035,-86.36899,0.158948
37.0035,-86.36902,0.159045
37.0035,-86.36904,0.15909800000000002
37.00349,-86.36913,0.159288
37.00346,-86.36922,0.159476
37.00346,-86.36923,0.159501
37.00342,-86.36931,0.159668
37.00337,-86.36939,0.159729
37.00335,-86.36942,0.15975399999999998
37.00333,-86.36945,0.15978
37.00328,-86.36951,0.159833
37.00322,-86.36956,0.15987600000000002
37.00319,-86.36958,0.159886
37.00308,-86.36963,0.159632
37.00295,-86.36969,0.159271
37.00278,-86.36976,0.158622
37.00265,-86.36983,0.15800999999999998
37.00255,-86.3699,0.1579
37.00252,-86.36992,0.157891
37.00246,-86.36997,0.157861
37.00241,-86.37002,0.157821
37.00241,-86.37003,0.157811
37.00234,-86.37011,0.157812
37.00228,-86.37019,0.15803399999999998
37.00227,-86.3702,0.158076
37.00217,-86.37038,0.158484
37.00212,-86.3705,0.158756
37.00203,-86.37073,0.1591
37.00202,-86.37077,0.159136
37.00192,-86.37104,0.15906
37.00187,-86.37119,0.15875399999999998
37.00184,-86.37126,0.15860400000000002
37.00179,-86.37139,0.158272
37.00177,-86.37142,0.15817699999999998
37.00171,-86.37156,0.157831
37.00169,-86.37158,0.15778
37.00156,-86.37179,0.157291
37.00142,-86.37195,0.156915
37.00128,-86.37208,0.156566
37.0012,-86.37213,0.156448
37.00115,-86.37215,0.156389
37.00109,-86.37218,0.15632400000000002
37.00098,-86.37222,0.15620799999999999
37.00082,-86.37224,0.156244
37.00074,-86.37222,0.15624000000000002
37.00068,-86.3722,0.15623099999999998
37.00065,-86.37216,0.15620900000000001
37.00064,-86.37215,0.15620699999999998
37.00061,-86.37212,0.15621100000000002
37.00059,-86.37206,0.15619999999999998
37.00059,-86.372,0.156168
37.0006,-86.37195,0.15612299999999998
37.0006,-86.37191,0.1561
37.00064,-86.37179,0.155964
37.00066,-86.37174,0.156002
37.00068,-86.37169,0.15604200000000001
37.00078,-86.37146,0.156137
37.00095,-86.37112,0.15614599999999998
37.00102,-86.37096,0.15640700000000002
37.00106,-86.37088,0.15668600000000002
37.00112,-86.37077,0.15718600000000002
37.00114,-86.37074,0.157352
37.00125,-86.3706,0.157868
37.00133,-86.37052,0.15835400000000002
37.00141,-86.37044,0.158756
37.00161,-86.3702,0.159194
37.00167,-86.37013,0.15925399999999998
37.00168,-86.37007,0.15926300000000002
37.00169,-86.36999,0.15927000000000002
37.00169,-86.36995,0.15926400000000002
37.00168,-86.36927,0.157713
37.00168,-86.36918,0.157796
37.001676,-86.3691803,0.157801
37.001676,-86.3691803,0.157801
37.00167,-86.36882,0.15866
37.00167,-86.36875,0.1589
37.00168,-86.36863,0.15903399999999998
37.00169,-86.36856,0.15911699999999998
37.00173,-86.36846,0.159228
37.00213,-86.36762,0.15632300000000002
37.0024,-86.36704,0.156242
37.00255,-86.36672,0.156839
37.00273,-86.36633,0.157727
37.00278,-86.36627,0.157861
37.00297,-86.36602,0.159092
37.00326,-86.36568,0.160475
37.00343,-86.36549,0.160529
37.00356,-86.36535,0.160551
37.0037,-86.3652,0.160558
37.00383,-86.36507,0.160446
37.00397,-86.3649,0.160173
37.00443,-86.36437,0.158948
37.00464,-86.36416,0.15875399999999998
37.00483,-86.36397,0.159183
37.00503,-86.36381,0.160017
37.0050277,-86.3638134,0.16000899999999998
37.0050277,-86.3638134,0.16000899999999998
37.00506,-86.36379,0.160128
37.00535,-86.36363,0.161331
37.00541,-86.36359,0.16153800000000001
37.00558,-86.36351,0.162084
37.00571,-86.36345,0.162543
37.00575,-86.36343,0.162645
37.00591,-86.36333,0.16292199999999998
37.00596,-86.36329,0.16295099999999998
37.00613,-86.36314,0.16279
37.00626,-86.36295,0.16262200000000002
37.00635,-86.36272,0.162161
37.00637,-86.36267,0.162132
37.00644,-86.3624,0.1616
37.00648,-86.36208,0.16073500000000002
37.00648,-86.36182,0.159957
37.00647,-86.36179,0.159866
37.00644,-86.36156,0.159447
37.00643,-86.3615,0.159403
37.0063,-86.36115,0.159881
37.00615,-86.36074,0.160808
37.00606,-86.36054,0.161428
37.00598,-86.36046,0.16159700000000002
37.00591,-86.36043,0.161706
37.00587,-86.36041,0.16179
37.00577,-86.36035,0.161996
37.00574,-86.36035,0.162015
37.00565,-86.36035,0.162132
37.0055,-86.36037,0.16239699999999999
37.00539,-86.36039,0.162596
37.00537,-86.36039,0.162639
37.00521,-86.36043,0.162737
37.00468,-86.36054,0.16224100000000002
37.00439,-86.36061,0.162026
37.0043851,-86.3606073,0.162026
37.0043851,-86.3606073,0.162026
37.00437,-86.36061,0.16199000000000002
37.00418,-86.36071,0.161433
37.00411,-86.36082,0.16114900000000001
